type,topic,question,answer,options,correctOption,explanation
qa,"Lecture 7","Forklar kort hvordan en with-setning i Python bidrar til å unngå lekkasjer av filhåndtak.","En with-setning i Python sikrer at en ressurs (som en fil) blir korrekt håndtert, spesielt med tanke på lukking. Objektet som brukes med with er en ""context manager"" som har metoder for å tre i kraft ved inngangen (__enter__) og utgangen (__exit__) av blokken. Selv om det oppstår en feil inne i with-blokken, vil __exit__-metoden (som for filer inkluderer lukking) alltid bli kjørt.",,,
mc,"Lecture 7","Hva er den primære funksjonen til et filhåndtak(fildeskriptor)? Svaralternativer:",,"Å lagre innholdet i en fil permanent på disken.|Å gi et program en abstrakt måte å identifisere og samhandle med en åpen fil administrert av operativsystemet.|Å kryptere innholdet i en fil for sikker lagring.|Å komprimere filstørrelsen for å spare diskplass.",1,"Et filhåndtak (også kalt fildeskriptor) er en abstrakt indikator som operativsystemet bruker for å identifisere en åpen fil. Det er denne indikatoren programmet bruker for å utføre operasjoner som lesing og skriving.\n\nAlternativet om permanent lagring beskriver filsystemets generelle funksjon. Kryptering og komprimering er separate prosesser som ikke er direkte knyttet til filhåndtakets primære funksjon."
mc,"Lecture 7","Hvorfor strukturerer databaser data i indekser ved hjelp av trestrukturer eller hash-tabeller?",,"For å redusere det totale datavolumet som må lagres på disken.|For å sikre at dataene lagres i kronologisk rekkefølge basert på innsettingstidspunktet.|For å raskt kunne lokalisere spesifikke data på disken ved å minimere antall diskoperasjoner.|For å optimalisere sekvensiell lesing av data i store tabeller.",2,"Indekser basert på trestrukturer (som B-trær) eller hash-tabeller brukes av databaser for å raskt finne spesifikke data. Disse strukturene er optimalisert for diskoperasjoner ved å organisere data slik at færrest mulig diskaksesser er nødvendig for å finne den ønskede informasjonen. Datakomprimering er ikke indeksenes primære formål, rekkefølgen av data i indeksen er logisk basert på nøkkelverdier, og indekser er primært for raske oppslag, ikke optimalisering av sekvensiell lesing."
mc,"Lecture 7","Hva er hovedideen bak ekstern sortering når man har data som ikke får plass i minnet?",,"Å bruke mer av prosessorens cache for å håndtere de store datamengdene.|Å dele dataene opp i mindre biter som kan sorteres individuelt i minnet og deretter slås sammen ved hjelp av disk I/O.|Å dynamisk øke størrelsen på hovedminnet ved bruk av diskplass som virtuelt minne.|Å komprimere dataene før sortering for å redusere minnebruken under sorteringsprosessen.",1,"Ekstern sortering brukes når data er for stort til å passe i minnet. Ideen er å dele dataene opp i håndterbare biter, sortere hver bit i minnet, og deretter slå sammen de sorterte bitene til en endelig sortert fil ved hjelp av disk I/O.\n\nSelv om økt bruk av cache kan hjelpe, er ikke det hovedideen.\nVirtuelt minne håndteres av operativsystemet og løser ikke nødvendigvis problemet med store datasett i minnet for en sorteringsalgoritme.\nKomprimering kan redusere størrelsen, men løser sjelden problemet med at dataene er fundamentalt for store for minnet under sortering."
mc,"Lecture 7","Hva er den grunnleggende forskjellen mellom en streng og en byte-array i databehandling?",,"En streng kan bare inneholde numeriske verdier, mens en byte-array kan inneholde tekstdata.|En streng er en sekvens av tegn, mens en byte-array er en sekvens av numeriske byte-verdier.|En streng er lagret direkte på disken som en fil, mens en byte-array er kun i minnet.|Det er ingen fundamental forskjell; begrepene brukes synonymt i de fleste programmeringsspråk.",1,"En streng representerer tekst som en sekvens av tegn, der hvert tegn har en abstrakt representasjon (kodeunkt). En byte-array derimot, er en lavnivårepresentasjon av binære data, hvor hvert element er en numerisk byte-verdi. Konvertering mellom de to krever bruk av en tegnekoding."
mc,"Lecture 7","Hvorfor er tegnesett og tegnekoding nødvendig når man arbeider med tekst i datamaskiner?",,"For å sikre at tekstdata tar mindre plass ved lagring og overføring.|For å kunne konvertere mellom menneskelig lesbar tekst (tegn) og maskinens binære representasjon (bytes).|For å kryptere tekstdata slik at de ikke kan leses av uvedkommende.|For å optimalisere hastigheten på tekstsøk i store dokumenter.",1,"Et tegnesett definerer hvilke tegn som finnes og gir hvert tegn en unik kode (kodeunkt). En tegnekoding definerer hvordan disse kodeunktene representeres som en sekvens av bits (bytes) for lagring og overføring. Uten dette systemet ville datamaskiner ikke kunne tolke og vise tekst korrekt.\nKomprimering og kryptering er separate prosesser, og selv om tegnesett og koding indirekte kan påvirke søkehastighet ved å bestemme datastrukturen, er ikke det deres primære nødvendighet."
mc,"Lecture 7","Hvilken viktig fordel gir bruken av en with-setning (eller tilsvarende konstruksjoner) ved håndtering av filer sammenlignet med manuell åpning og lukking?",,"Den gjør filoperasjoner raskere ved å optimalisere disk I/O.|Den sikrer at filen lukkes automatisk, selv om det oppstår feil (unntak) i kodeblokken.|Den gir bedre kontroll over filens tilgangsrettigheter.|Den reduserer minnebruken ved håndtering av store filer.",1,"En with-setning (og lignende konstruksjoner som try-with-resources i Java og smarte pekere i C++) er utformet for å automatisere ressurshåndtering, spesielt lukking av filer. Selv om det oppstår en feil inne i blokken, vil ressursen bli korrekt frigjort. Dette bidrar til å unngå ressurslekkasjer.\nSelv om korrekt lukking er viktig for ytelsen og kan indirekte påvirke minnebruk, er den primære fordelen den garanterte lukkingen også ved feil. Kontroll over tilgangsrettigheter håndteres på et annet nivå."
qa,"Lecture 8","Hva er hovedforskjellen mellom tekstuelle og binære filformater? Gi ett eksempel på hver","Hovedforskjellen er at tekstuelle filformater er lesbare for mennesker i en teksteditor, mens binære formater ikke er direkte menneskelesbare. Et eksempel på et tekstuelt format er HTML. Et eksempel på et binært format er JPEG.",,,
qa,"Lecture 8","Hvilken funksjon har filnavnendelsen?","Filnavnendelsen er kun en indikasjon til brukeren og operativsystemet om filtypen og påvirker ikke hvordan dataen er strukturert i filen. Endelsen hjelper operativsystemet med å bestemme hvilket program som skal åpne filen.",,,
qa,"Lecture 8","Nevn tre viktige kjennetegn ved CSV-formatet. Hvordan håndterer CSV verdier som inneholder komma eller anførselstegn?","Tre viktige kjennetegn ved CSV-formatet er at det er et tekstuelt format for tabulær data der verdier er separert med komma og rader med linjeskift. Det finnes ingen standard måte å indikere filens karakterkoding. Verdier som inneholder komma eller anførselstegn må omsluttes av anførselstegn, og eventuelle anførselstegn inni verdien må dobles.",,,
qa,"Lecture 8","Beskriv forskjellen mellom lossy og lossless komprimering. Gi ett eksempel på et filformat som bruker lossy komprimering, og ett som bruker lossless komprimering.","Lossy komprimering fjerner noe data for å oppnå høyere komprimeringsrate, noe som kan resultere i tap av kvalitet. Lossless komprimering reduserer filstørrelsen uten å miste noen informasjon, slik at originaldataene kan gjenopprettes nøyaktig. Et eksempel på et filformat som bruker lossy komprimering er MP3. Et eksempel på et som bruker lossless komprimering er PNG.",,,
qa,"Lecture 8","Hva betyr serialisering og deserialisering i sammenheng med programmeringsspråk? Nevn en ulempe eller fare ved bruk av innebygd serialisering.","Serialisering er prosessen med å konvertere et objekt i minnet til et format som kan lagres (f.eks. i en fil) eller overføres over et nettverk. Deserialisering er prosessen med å gjenopprette objektet fra dette lagrede formatet. En fare ved innebygd serialisering (som Pickle i Python) er sikkerhetsrisikoen, da deserialiserte data potensielt kan inneholde skadelig kode.",,,
qa,"Lecture 8","Forklar det generelle prinsippet bak komprimering. Hvorfor har det ingen effekt å komprimere en fil gjentatte ganger med samme algoritme?","Komprimering fungerer ved å utnytte mønstre og redundans i dataen for å representere den mer effektivt. Gjentatt komprimering med samme algoritme har ingen effekt fordi algoritmen allerede har utnyttet alle de gjenkjennelige mønstrene i den første komprimeringsrunden, og det er ingen ytterligere redundans igjen for algoritmen å utnytte.",,,
mc,"Lecture 8","Hva er den obligatoriske karakterkodingen som alltid benyttes for JSON-dokumenter?",,"ASCII |UTF-16|UTF-8 |ISO-8859-1",2,"JSON-dokumenter må alltid være kodet i UTF-8. \n\nAlternativ 'ASCII' er en eldre karakterkoding som ikke støtter alle internasjonale tegn. \nAlternativ 'UTF-16' er en annen Unicode-transformasjonsformat, men ikke det obligatoriske for JSON. \nAlternativ 'ISO-8859-1' er en annen karakterkoding som er begrenset til vest-europeiske tegn."
mc,"Lecture 8","Hvilken type komprimering reduserer filstørrelsen ved å fjerne noe informasjon, noe som potensielt kan medføre tap av kvalitet?",,"Lossless komprimering |Run-length encoding|Lossy komprimering|Huffman-koding",2,"Komprimeringstypen som fjerner data for å redusere filstørrelsen og kan føre til kvalitetstap er lossy komprimering.\n\nAlternativ 'Lossless komprimering' reduserer filstørrelsen uten å miste informasjon. \nAlternativ 'Run-length encoding' er en form for lossless komprimering som erstatter gjentatte sekvenser. \nAlternativ 'Huffman-koding' er en lossless komprimeringsalgoritme basert på frekvensen av symboler."
mc,"Lecture 8","Hva er den primære hensikten med funksjonene `struct.pack` og `struct.unpack` i Python?",,"Å konvertere tekst til binær kode og tilbake.|Å komprimere og dekomprimere data.|Å konvertere data mellom in-memory representasjon og en byte-sekvens.|Å serialisere og deserialisere Python-objekter til fil.",2,"`struct.pack` og `struct.unpack` i Python brukes primært for å konvertere data mellom deres representasjon i minnet og en sekvens av bytes. \n\nAlternativ 'Å konvertere tekst til binær kode og tilbake' beskriver funksjonaliteten til encode() og decode(). \nAlternativ 'Å komprimere og dekomprimere data' beskriver formålet med komprimeringsalgoritmer som DEFLATE eller gzip. \nAlternativ 'Å serialisere og deserialisere Python-objekter til fil' beskriver funksjonaliteten til serialiseringsbiblioteker som pickle eller json."
mc,"Lecture 8","Hvilken påstand beskriver hovedideen bak Lempel-Ziv-komprimering (LZ77)?",,"Å erstatte hyppige symboler med kortere koder basert på deres frekvens|Å fjerne redundant informasjon som ikke er synlig for det menneskelige øyet.|Å se etter gjentakelser av tegnsekvenser og erstatte påfølgende forekomster med referanser.|Å gruppere like elementer i lange sekvenser og representere dem med en telling og elementet.",2,"Hovedideen bak Lempel-Ziv-komprimering er å identifisere gjentakende tegnsekvenser og erstatte senere forekomster med en referanse til den første forekomsten.\n\nAlternativ 'Å erstatte hyppige symboler med kortere koder' beskriver prinsippet bak Huffman-koding.\nAlternativ 'Å fjerne redundant informasjon som ikke er synlig for det menneskelige øyet' beskriver en egenskap ved lossy komprimering.\nAlternativ 'Å gruppere like elementer i lange sekvenser og representere dem med en telling og elementet' beskriver run-length encoding."
mc,"Lecture 8","I hvilken situasjon er det mest hensiktsmessig å bruke en databasemotor i stedet for å lagre data i filformater som CSV eller JSON?",,"Når dataene primært består av enkle lister med verdier som sjelden endres.|Når man har behov for hyppige søk etter spesifikke dataelementer i en stor datasamling.|Når målet er å enkelt kunne lese og redigere dataen direkte i en teksteditor.|Når man ønsker å minimere avhengigheten av ekstern programvare for å få tilgang til dataen.",1,"Det er mest hensiktsmessig å bruke en databasemotor når man har behov for hyppige søk etter spesifikke dataelementer i en stor datasamling på grunn av dens evne til å indeksere og håndtere data effektivt. \n\nAlternativ 'Når dataene primært' kan ofte håndteres tilstrekkelig med enkle filformater. \nAlternativ 'Når målet er å' taler for bruk av tekstuelle filformater.\nAlternativ 'Når man ønsker' kan også favorisere enklere filformater, selv om databaser krever spesifikk programvare for tilgang og administrasjon."
qa,"Lecture 9","Hva er hovedproblemet som generics og C++ templates forsøker å løse i statisk typede språk?","Hovedproblemet er kode-duplisering og manglende type-sikkerhet når man ønsker å skrive algoritmer som kan operere på flere forskjellige datatyper. Generics og templates tillater å skrive én enkelt versjon av koden som kan tilpasses ulike typer.",,,
qa,"Lecture 9","Hvorfor må malfunksjoner som brukes i flere .cpp-filer defineres i en headerfil (.h) i C++?","Malfunksjoner må defineres i headerfilen fordi template-koden må være tilgjengelig for compileren hver gang den instansieres med en ny type i en annen kompileringsenhet. Headerfiler inneholder deklarasjoner, mens kildekodefiler inneholder definisjoner.",,,
qa,"Lecture 9","Hva skjer når en malfunksjon instansieres med en spesifikk type i C++, og hvordan skiller dette seg fra generics i Java?","Når en malfunksjon instansieres, genererer compileren en ny, spesifikk versjon av funksjonen for den gitte typen. I motsetning til Java, hvor det ofte er én kompilert klasse som håndterer ulike typer (type erasure), er de kompilerte versjonene i C++ uavhengige av hverandre.",,,
qa,"Lecture 9","Hva betyr det å spesialisere en malbasert klasse for en spesifikk type?","Å spesialisere en malbasert klasse betyr å lage en særskilt implementasjon av en template for en bestemt type. Et eksempel er spesialiseringen av vector<bool> for å optimalisere minnebruk ved å lagre flere boolske verdier per integer.",,,
qa,"Lecture 9","Hva er hensikten med include guards i en headerfil i C++ og hvorfor er de viktige?","Hensikten med include guards er å forhindre at innholdet i en headerfil blir inkludert flere ganger i samme kompileringsenhet. Uten include guards kan dette føre til redefinisjonsfeil under kompileringen.",,,
qa,"Lecture 9","Hva er STL i C++ og gi eksempler på to template-klasser som er en del av STL.","STL (Standard Template Library) er en omfattende del av C++ standardbibliotek som inneholder mange generiske datastrukturer og algoritmer. Eksempler inkluderer vector (en dynamisk array) og priority_queue (en prioritetskø).",,,
mc,"Lecture 9","Hva er en C++ template?",,"En spesifikk implementasjon av en funksjon eller klasse for en gitt datatype.|En mekanisme for å definere funksjoner og klasser som kan operere på forskjellige typer. |En kompileringsfeil som oppstår når man bruker generisk kode feil.|En del av standardbiblioteket som kun inneholder datastrukturer.",1,"En C++ template er en mekanisme for å definere funksjoner og klasser som kan operere på forskjellige typer. Dette er selve definisjonen av en template, som er C++ sin implementasjon av generics.\n\nAlternativ 'En spesifikk implementasjon' beskriver resultatet av en template instansiering, ikke selve template.\nAlternativ 'En kompileringsfeil' er feil; templates er en gyldig språkkonstruksjon.\nAlternativ 'En del av standardbiblioteket' er delvis riktig (STL inneholder datastrukturer), men templates er en språkfunksjon i seg selv, og STL inneholder også algoritmer."
mc,"Lecture 9","Hva kjennetegner template instansiering i C++?",,"Koden for templaten blir kompilert én gang uavhengig av typene som brukes.|Compileren genererer spesifikk kode for hver type templaten brukes med.|Det skjer en typekonvertering til en felles supertype under kjøretid.|Templaten blir ignorert av compileren hvis den ikke brukes med konkrete typer.",1,"Under template instansiering i C++, genererer compileren spesifikk kode for hver type templaten brukes med. Dette betyr at for hver unik datatype som brukes med en template, skapes en separat versjon av koden.\n\nAlternativ 'Koden for templaten blir kompilert én gang' er mer likt hvordan generics fungerer i språk med type erasure, som Java.\nAlternativ 'Det skjer en typekonvertering' er ikke relevant for C++ templates; typene er bestemt ved kompilering.\nAlternativ 'Templaten blir ignorert' er feil; templaten må instansieres for å generere kjørbar kode for de spesifikke typene."
mc,"Lecture 9","Hva er hovedformålet med template spesialisering?",,"Å gjøre template-koden mer generell og anvendelig for flere datatyper.|Å tilby en optimalisert eller annerledes implementasjon for en eller flere spesifikke datatyper.|Å tvinge compileren til å bruke en bestemt datatype med en template.|Å forhindre at en template kan brukes med visse datatyper.",1,"Hovedformålet med template spesialisering er å tilby en optimalisert eller annerledes implementasjon av en template for en eller flere spesifikke datatyper. Dette tillater skreddersydd oppførsel for tilfeller der den generelle implementasjonen ikke er ideell.\n\nAlternativ 'Å gjøre template-koden mer generell' er det motsatte av spesialisering.\nAlternativ 'Å tvinge compileren til å bruke en bestemt datatype' er ikke formålet; spesialisering trer i kraft når en bestemt datatype brukes.\nAlternativ 'Å forhindre at en template kan brukes' er heller ikke formålet; spesialisering gir en alternativ bruk."
mc,"Lecture 9","Hvilken påstand er korrekt angående bitwise operatorer i henhold til kilden?",,"De opererer på hele datatyper som int eller float som en helhet.|De manipulerer de enkelte bitene i heltallsdatatyper. |De brukes hovedsakelig for sammenligning av numeriske verdier.|De er ikke relevante i sammenheng med C++ templates.",1,"Bitwise operatorer manipulerer de enkelte bitene i heltallsdatatyper. Kilden nevner AND (&), OR (|) og NOT (~) som eksempler på hvordan de opererer på bitnivå.\n\nAlternativ 'De opererer på hele datatyper' er feil; de opererer på bitene.\nAlternativ 'De brukes hovedsakelig for sammenligning' er feil; sammenligningsoperatorer har et annet formål.\nAlternativ 'De er ikke relevante i sammenheng med C++ templates' er feil; selv om ikke direkte knyttet, kan templates brukes med typer som bitwise operatorer kan operere på."
mc,"Lecture 9","Hva er en potensiell ulempe ved bruk av template metaprogrammering?",,"Det kan føre til lengre kompileringstider. |Det resulterer alltid i mindre kjørbare filer.|Det gjør koden mer lettlest og forståelig.|Det begrenser mulighetene for gjenbruk av kode.",0,"En potensiell ulempe ved bruk av template metaprogrammering er at dette kan føre til lengre kompileringstider. Beregninger utføres under kompilering, noe som kan øke tiden det tar å bygge programmet.\n\nAlternativ 'Det resulterer alltid i mindre kjørbare filer' er ikke garantert; selv om beregninger flyttes til kompileringstid, kan kompleks template-kode også øke størrelsen.\nAlternativ 'Det gjør koden mer lettlest' er ofte ikke tilfelle; template metaprogrammering kan være abstrakt og vanskelig å forstå.\nAlternativ 'Det begrenser mulighetene for gjenbruk av kode' er feil; templates generelt fremmer gjenbruk."
mc,"Lecture 9","Hva er en forutsetning for å kunne bruke `std::sort-funksjonen` fra STL med en brukerdefinert klasse?",,"Klassen må arve fra en bestemt baseklasse i STL.|lassen må ha en medlemsfunksjon kalt sort().|<-operatoren må være definert for den klassen.|Klassen må kun inneholde primitive datatyper som medlemmer.",2,"For å bruke std::sort med en brukerdefinert klasse, må <-operatoren være definert for den klassen. std::sort bruker denne operatoren for å sammenligne elementer og bestemme rekkefølgen under sorteringen.\n\nAlternativ 'Klassen må arve fra en bestemt baseklasse' er ikke et krav for std::sort.\nAlternativ 'Klassen må ha en medlemsfunksjon kalt sort()' er feil; std::sort er en frittstående funksjon.\nAlternativ 'Klassen må kun inneholde primitive datatyper' er ikke riktig; std::sort kan sortere objekter av komplekse klasser så lenge sammenligningsoperatoren er definert."
qa,"Lecture 10","Hvordan håndterer Java generiske typer under kjøring i motsetning til C++ templates?","I Java er det kun én kompilert versjon av en generisk klasse, og typeinformasjonen går tapt under kjøring på grunn av ""runtime type erasure"". I C++ genereres en ny versjon av klassen eller funksjonen for hver spesifikk type den brukes med.",,,
qa,"Lecture 10","Hvilke to hovedfordeler gir bruken av generics i Java sammenlignet med å bruke Object for parametere og returverdier?","Fordelene inkluderer unngåelse av eksplisitt typekonvertering (casting) og sikring av at alle parametere og returverdier har samme spesifikke type, i stedet for bare å være av en felles supertype.",,,
qa,"Lecture 10","Nevn tre operasjoner som kan utføres på en variabel av en ubegrenset generisk typeparameter T i Java.","Tillatte operasjoner inkluderer å kalle metoder definert i Object-klassen (toString(), equals(), hashCode()), sende den som et argument til en annen funksjon, og deklarere variabler av den typen.",,,
qa,"Lecture 10","Hvorfor tillater ikke Java automatisk konvertering fra `List<Apple>` til `List<Fruit>` selv om Apple er en subklasse av Fruit?","Dette er for å forhindre potensielle typefeil som kunne oppstå hvis man kunne legge til et Orange-objekt i en liste som egentlig er ment for Apple-objekter, noe som ville ført til en ClassCastException senere.",,,
qa,"Lecture 10","Hva er et funksjonelt grensesnitt i Java, og hvor mange abstrakte metoder kan det inneholde?","En funksjonell grensesnitt i Java er et grensesnitt som har nøyaktig én abstrakt metode (metode uten standardimplementasjon). Det kan ha flere metoder med standardimplementasjon.",,,
qa,"Lecture 10","Beskriv kort funksjonaliteten til `filter()`, `map()`, og `toList()` operasjonene i Java Stream API.","`filter()` velger ut elementer basert på et predikat.\n`map()` transformerer hvert element ved hjelp av en funksjon, og \n`toList()` samler elementene i en strøm til en ny List.",,,
mc,"Lecture 10","Hvilket begrep beskriver fenomenet der informasjon om generiske typeparametere ikke eksisterer under kjøring i Java?",,"Type inferens|Runtime polymorphism.|Runtime type erasure.|Boxing og unboxing.",2,"Fenomenet der informasjon om generiske typeparametere går tapt under kjøring kalles runtime type erasure. Dette betyr at ved kjøretid er ikke den spesifikke typen i en generisk klasse eller metode tilgjengelig.\n\nAlternativ 'Type inferens' refererer til kompilatorens evne til å utlede typen av et generisk argument.\nAlternativ 'Runtime polymorphism' er mekanismen som gjør at et objekt kan ta mange former ved kjøretid basert på dets faktiske type.\nAlternativ 'Boxing og unboxing' er prosessen med å konvertere mellom primitive typer og deres wrapper-objekter."
mc,"Lecture 10","Hvilken syntaks i Java generics tillater at man kan behandle en generisk type med en subklasse som en generisk type med en superklasse, med restriksjoner på hva man kan gjøre med samlingen (kun hente elementer)?",,"<T>|<? super T>|<? extends T>|<T extends Comparable>",2,"Syntaksen <? extends T> representerer kovarians i Java generics. Dette tillater at en samling av en subtype kan behandles som en samling av supertypen T, men man kan generelt bare hente elementer fra den (den er en ""produsent"").\n\nAlternativ <T> representerer en ubegrenset generisk typeparameter.\nAlternativ <? super T> representerer kontravarians, hvor en samling av en supertype kan behandles som en samling av subtypen T, og man kan generelt bare legge til elementer i den (den er en ""konsument"").\nAlternativ <T extends Comparable> representerer en begrenset generisk typeparameter, hvor T må være en subklasse av Comparable."
mc,"Lecture 10","Hvor mange abstrakte metoder kan et funksjonelt grensesnitt i Java ha?",,"Null eller flere.|Minst én|Nøyaktig én.|Mer enn én.",2,"Et funksjonelt grensesnitt i Java er definert som et grensesnitt som inneholder nøyaktig én abstrakt metode (en metode uten standardimplementasjon).\n\nAlternativ 'Null eller flere' er for generelle grensesnitt.\nAlternativ 'Minst én' gjelder for mange grensesnitt, men funksjonelle grensesnitt er spesifikke.\nAlternativ 'Mer enn én' er ikke tillatt for funksjonelle grensesnitt."
mc,"Lecture 10","Hvilken av følgende beskriver best hensikten med Java Stream API?",,"Å definere anonyme funksjoner. |Å forenkle bearbeiding av samlinger av data på en deklarativ måte.|Å håndtere unntak under kjøring.|Å definere klasser som kan operere på en hvilken som helst type.",1,"Java Stream API er designet for å forenkle bearbeiding av samlinger av data på en deklarativ måte. Det tilbyr metoder for å utføre operasjoner som filtrering, mapping og reduksjon på sekvenser av elementer.\n\nAlternativ 'Å definere anonyme funksjoner' beskriver bruken av lambda-funksjoner. \nAlternativ 'Å håndtere unntak under kjøring' er ansvaret til try-catch-blokker og unntakshåndteringsmekanismer.\nAlternativ 'Å definere klasser som kan operere på en hvilken som helst type' beskriver formålet med generics."
mc,"Lecture 10","Hvilken av de følgende operasjonene er et eksempel på en stream-operasjon som transformerer hvert element i strømmen til et annet element?",,"filter()|reduce()|map()|forEach()",2,"Operasjonen map() i Java Stream API transformerer hvert element i strømmen til et annet element ved hjelp av en gitt funksjon.\n\nAlternativ filter() velger ut elementer basert på et predikat. \nAlternativ reduce() kombinerer elementene i strømmen til én enkelt verdi.\nAlternativ forEach() utfører en handling for hvert element i strømmen, men transformerer ikke elementene i seg selv."
mc,"Lecture 10","Hvilket av følgende er en korrekt syntaks for en enkel lambda-funksjon i Java som tar en parameter y og returnerer verdien av y addert med 5?",,"(y) -> return y + 5;|y -> { y + 5 }|y => y + 5|y -> y + 5",3,"Den korrekte syntaksen for en lambda-funksjon som tar en parameter y og returnerer y + 5 er `y -> y + 5`. Hvis lambda-kroppen består av et enkelt uttrykk, kan man utelate krøllparentesene og return-nøkkelordet.\n\nAlternativ (y) -> return y + 5; er nesten korrekt, men return er unødvendig for et enkelt uttrykk uten krøllparenteser.\nAlternativ y -> { y + 5 } utfører beregningen, men returnerer ikke nødvendigvis verdien uten et eksplisitt return inne i krøllparentesene i dette tilfellet.\nAlternativ y => y + 5 bruker feil syntaks (=> brukes i JavaScript, ikke Java)."
qa,"Lecture 11","Hva er hovedideen bak et designmønster?","Hovedideen bak et designmønster er å tilby en gjenbrukbar løsning på et vanlig forekommende problem i programvaredesign. Det er en mal eller veiledning for å strukturere kode for å oppnå egenskaper som fleksibilitet og vedlikeholdbarhet. I motsetning til algoritmer og datastrukturer, som er spesifikke steg eller organisering av data, er et designmønster en mer overordnet idé som kan gjenbrukes og tilpasses ulike situasjoner for å håndtere arkitektoniske utfordringer.",,,
qa,"Lecture 11","Hva er et Java-grensesnitt(interface)?","Et Java-grensesnitt definerer et sett med funksjonssignaturer uten implementasjon. Når en klasse implementerer et grensesnitt, inngår klassen en ""kontrakt"" om å tilby implementasjon for alle metodene som er definert i grensesnittet. Et grensesnitt er en spesifikasjon av et sett med metoder som en klasse kan implementere.",,,
qa,"Lecture 11","Beskriv kort hva Adapter-mønsteret gjør.","Adapter-mønsteret er et strukturmønster som tillater at klasser med inkompatible grensesnitt kan samarbeide. Det løser problemet med å bruke en eksisterende klasse som ikke implementerer et nødvendig grensesnitt. Adapteren fungerer som en bro ved å konvertere grensesnittet til en klasse til et annet grensesnitt som klienten forventer. Dette oppnås ved å lage en adapterklasse som omslutter en instans av den eksisterende klassen og implementerer det påkrevde grensesnittet ved å delegere kall til den underliggende klassen.",,,
qa,"Lecture 11","Hva er hensikten med Decorator-mønsteret?","Hensikten med Decorator-mønsteret er å legge til ekstra funksjonalitet (som logging eller tidsmåling) til metoder i en eksisterende klasse uten å endre selve klassen. Dette er et strukturmønster som dynamisk legger til ansvar til et objekt. Dette oppnås ved å lage en dekoratorklasse som omslutter en instans av den opprinnelige klassen og delegerer metodekall til den, samtidig som den utfører den ekstra handlingen før og/eller etter delegeringen. Dekoratører gir et fleksibelt alternativ til subklassing for å utvide funksjonalitet.",,,
qa,"Lecture 11","Forklar kjernemekanismen i Observer-mønsteret.","I Observer-mønsteret har man et ""observable""-objekt som opprettholder en liste over ""observer""-objekter. Når noe interessant skjer i ""observable""-objektet, varsler det alle registrerte ""observer""-objekter ved å kalle en spesifikk metode (definert i et felles grensesnitt) på hver av dem. Det er et adferdsmønster der et objekt (subjekt eller observable) vedlikeholder en liste over sine avhengige (observatører) og varsler dem automatisk om eventuelle tilstandsendringer.",,,
qa,"Lecture 11","Hva er en endelig tilstandsmaskin?","En endelig tilstandsmaskin er en beregningsmodell som til enhver tid befinner seg i én av et endelig antall mulige tilstander. Maskinens respons på input avhenger av den nåværende tilstanden, og etter å ha utført en operasjon, transiterer maskinen til en annen tilstand (eller forblir i samme tilstand). Den består av et endelig antall tilstander, overganger mellom disse tilstandene, og handlinger som kan utføres ved overganger eller i bestemte tilstander.",,,
mc,"Lecture 11","Hva kjennetegner et designmønster sammenlignet med en spesifikk algoritme?",,"Et designmønster er en detaljert oppskrift for å løse et problem. |Et designmønster er en spesifikk implementasjon i et gitt programmeringsspråk.|Et designmønster er en generell veiledning for å strukturere kode for å løse et tilbakevendende problem. |Et designmønster er en ferdiglaget programvarekomponent som kan integreres direkte i et system.",2,"Det er en mal eller en veiledning for hvordan man kan strukturere kode for å oppnå visse egenskaper som fleksibilitet og vedlikeholdbarhet.\n\nAlternativ 'Et designmønster er en detaljert oppskrift' beskriver mer en spesifikk algoritme, som er en rekke spesifikke steg for å løse et problem. Et designmønster er en mer overordnet idé.\nAlternativ 'Et designmønster er en spesifikk implementasjon' er feil fordi et designmønster er en abstrakt løsning, ikke en ferdig implementasjon i et bestemt språk. Det må tilpasses ulike situasjoner.\nAlternativ 'Et designmønster er en ferdiglaget programvarekomponent' er også feil; et designmønster er en mal eller veiledning, ikke en direkte implementerbar komponent. Man må strukturere kode ved hjelp av mønsteret."
mc,"Lecture 11","Hva innebærer det når en klasse ""implementerer"" et grensesnitt i Java?",,"Klassen arver automatisk alle metodene og deres implementasjon fra grensesnittet.|Klassen definerer sin egen versjon av alle metodene som er deklarert i grensesnittet.|Klassen kan velge å implementere noen, men ikke nødvendigvis alle metodene i grensesnittet. |Klassen oppretter en relasjon der den kan bruke konstantene definert i grensesnittet uten å måtte implementere noen metoder.",1,"Når en klasse implementerer et grensesnitt, definerer klassen sin egen versjon av alle metodene som er deklarert i grensesnittet. Klassen inngår en ""kontrakt"" om å tilby implementasjon for alle metodene.\n\nAlternativ 'Klassen arver automatisk alle metodene og deres implementasjon' er feil fordi et Java-grensesnitt definerer et sett med funksjonssignaturer uten implementasjon.\nAlternativ 'Klassen kan velge å implementere noen' er feil; for å fullt ut implementere grensesnittet, må klassen tilby implementasjon for alle de deklarerte metodene.\nAlternativ 'Klassen oppretter en relasjon der den kan bruke konstantene definert i grensesnittet uten å måtte implementere noen metoder' er delvis riktig vedrørende konstanter, men hovedbetydningen av å implementere et grensesnitt er å tilby implementasjon for de deklarerte metodene."
